DATE,TOTAL Load,AVGTEMP,AVGHUM,HOL_IND,SUNRISE,SUNSET
1/1/04 0:30,253080,68,55,1,7:01,18:22
1/1/04 1:00,250560,68,55,1,7:01,18:22
1/1/04 1:30,248400,68,55,1,7:01,18:22
1/1/04 2:00,245880,68,55,1,7:01,18:22
1/1/04 2:30,244720,68,55,1,7:01,18:22
1/1/04 3:00,242600,68,55,1,7:01,18:22
1/1/04 3:30,239760,68,55,1,7:01,18:22
1/1/04 4:00,234280,68,55,1,7:01,18:22
1/1/04 4:30,234040,68,55,1,7:01,18:22
1/1/04 5:00,237800,68,55,1,7:01,18:22
1/1/04 5:30,254840,68,55,1,7:01,18:22
1/1/04 6:00,273640,68,55,1,7:01,18:22
1/1/04 6:30,292800,68,55,1,7:01,18:22
1/1/04 7:00,306560,68,55,1,7:01,18:22
1/1/04 7:30,325520,68,55,1,7:01,18:22
1/1/04 8:00,348680,68,55,1,7:01,18:22
1/1/04 8:30,365160,68,55,1,7:01,18:22
1/1/04 9:00,376360,68,55,1,7:01,18:22
1/1/04 9:30,379800,68,55,1,7:01,18:22
1/1/04 10:00,384720,68,55,1,7:01,18:22
1/1/04 10:30,389840,68,55,1,7:01,18:22
1/1/04 11:00,388640,68,55,1,7:01,18:22
1/1/04 11:30,381880,68,55,1,7:01,18:22
1/1/04 12:00,343360,68,55,1,7:01,18:22
1/1/04 12:30,295800,68,55,1,7:01,18:22
1/1/04 13:00,305320,68,55,1,7:01,18:22
1/1/04 13:30,331800,68,55,1,7:01,18:22
1/1/04 14:00,363960,68,55,1,7:01,18:22
1/1/04 14:30,376560,68,55,1,7:01,18:22
1/1/04 15:00,378080,68,55,1,7:01,18:22
1/1/04 15:30,377400,68,55,1,7:01,18:22
1/1/04 16:00,379000,68,55,1,7:01,18:22
1/1/04 16:30,380720,68,55,1,7:01,18:22
1/1/04 17:00,382120,68,55,1,7:01,18:22
1/1/04 17:30,381520,68,55,1,7:01,18:22
1/1/04 18:00,392440,68,55,1,7:01,18:22
1/1/04 18:30,404880,68,55,1,7:01,18:22
1/1/04 19:00,411800,68,55,1,7:01,18:22
1/1/04 19:30,403480,68,55,1,7:01,18:22
1/1/04 20:00,381120,68,55,1,7:01,18:22
1/1/04 20:30,347200,68,55,1,7:01,18:22
1/1/04 21:00,330800,68,55,1,7:01,18:22
1/1/04 21:30,316360,68,55,1,7:01,18:22
1/1/04 22:00,304120,68,55,1,7:01,18:22
1/1/04 22:30,291080,68,55,1,7:01,18:22
1/1/04 23:00,279040,68,55,1,7:01,18:22
1/1/04 23:30,263600,68,55,1,7:01,18:22
1/2/04 0:00,255320,68,55,1,7:01,18:22
1/2/04 0:30,245800,66,59,0,7:01,18:22
1/2/04 1:00,244200,66,59,0,7:01,18:22
1/2/04 1:30,242640,66,59,0,7:01,18:22
1/2/04 2:00,241160,66,59,0,7:01,18:22
1/2/04 2:30,237560,66,59,0,7:01,18:22
1/2/04 3:00,235560,66,59,0,7:01,18:22
1/2/04 3:30,232640,66,59,0,7:01,18:22
1/2/04 4:00,228600,66,59,0,7:01,18:22
1/2/04 4:30,227280,66,59,0,7:01,18:22
1/2/04 5:00,233840,66,59,0,7:01,18:22
1/2/04 5:30,249000,66,59,0,7:01,18:22
1/2/04 6:00,270320,66,59,0,7:01,18:22
1/2/04 6:30,291400,66,59,0,7:01,18:22
1/2/04 7:00,310280,66,59,0,7:01,18:22
1/2/04 7:30,330200,66,59,0,7:01,18:22
1/2/04 8:00,351800,66,59,0,7:01,18:22
1/2/04 8:30,366000,66,59,0,7:01,18:22
1/2/04 9:00,381960,66,59,0,7:01,18:22
1/2/04 9:30,390080,66,59,0,7:01,18:22
1/2/04 10:00,390760,66,59,0,7:01,18:22
1/2/04 10:30,393880,66,59,0,7:01,18:22
1/2/04 11:00,394400,66,59,0,7:01,18:22
1/2/04 11:30,387000,66,59,0,7:01,18:22
1/2/04 12:00,343760,66,59,0,7:01,18:22
1/2/04 12:30,299040,66,59,0,7:01,18:22
1/2/04 13:00,306120,66,59,0,7:01,18:22
1/2/04 13:30,332400,66,59,0,7:01,18:22
1/2/04 14:00,363680,66,59,0,7:01,18:22
1/2/04 14:30,375720,66,59,0,7:01,18:22
1/2/04 15:00,380680,66,59,0,7:01,18:22
1/2/04 15:30,381920,66,59,0,7:01,18:22
1/2/04 16:00,383600,66,59,0,7:01,18:22
1/2/04 16:30,384960,66,59,0,7:01,18:22
1/2/04 17:00,388960,66,59,0,7:01,18:22
1/2/04 17:30,387920,66,59,0,7:01,18:22
1/2/04 18:00,395600,66,59,0,7:01,18:22
1/2/04 18:30,412320,66,59,0,7:01,18:22
1/2/04 19:00,416400,66,59,0,7:01,18:22
1/2/04 19:30,408000,66,59,0,7:01,18:22
1/2/04 20:00,383000,66,59,0,7:01,18:22
1/2/04 20:30,353960,66,59,0,7:01,18:22
1/2/04 21:00,338680,66,59,0,7:01,18:22
1/2/04 21:30,320080,66,59,0,7:01,18:22
1/2/04 22:00,309360,66,59,0,7:01,18:22
1/2/04 22:30,296080,66,59,0,7:01,18:22
1/2/04 23:00,281640,66,59,0,7:01,18:22
1/2/04 23:30,268040,66,59,0,7:01,18:22
1/3/04 0:00,258440,66,59,0,7:01,18:22
1/3/04 0:30,250560,68,39,0,7:01,18:22
1/3/04 1:00,247000,68,39,0,7:01,18:22
1/3/04 1:30,245720,68,39,0,7:01,18:22
1/3/04 2:00,243280,68,39,0,7:01,18:22
1/3/04 2:30,242400,68,39,0,7:01,18:22
1/3/04 3:00,239840,68,39,0,7:01,18:22
1/3/04 3:30,236880,68,39,0,7:01,18:22
1/3/04 4:00,234120,68,39,0,7:01,18:22
1/3/04 4:30,234240,68,39,0,7:01,18:22
1/3/04 5:00,238640,68,39,0,7:01,18:22
1/3/04 5:30,252640,68,39,0,7:01,18:22
1/3/04 6:00,274200,68,39,0,7:01,18:22
1/3/04 6:30,293800,68,39,0,7:01,18:22
1/3/04 7:00,313680,68,39,0,7:01,18:22
1/3/04 7:30,328360,68,39,0,7:01,18:22
1/3/04 8:00,348360,68,39,0,7:01,18:22
1/3/04 8:30,364480,68,39,0,7:01,18:22
1/3/04 9:00,376320,68,39,0,7:01,18:22
1/3/04 9:30,383120,68,39,0,7:01,18:22
1/3/04 10:00,386720,68,39,0,7:01,18:22
1/3/04 10:30,386880,68,39,0,7:01,18:22
1/3/04 11:00,385480,68,39,0,7:01,18:22
1/3/04 11:30,380000,68,39,0,7:01,18:22
1/3/04 12:00,339320,68,39,0,7:01,18:22
1/3/04 12:30,296360,68,39,0,7:01,18:22
1/3/04 13:00,302320,68,39,0,7:01,18:22
1/3/04 13:30,330400,68,39,0,7:01,18:22
1/3/04 14:00,361240,68,39,0,7:01,18:22
1/3/04 14:30,375040,68,39,0,7:01,18:22
1/3/04 15:00,377000,68,39,0,7:01,18:22
1/3/04 15:30,374920,68,39,0,7:01,18:22
1/3/04 16:00,363840,68,39,0,7:01,18:22
1/3/04 16:30,380600,68,39,0,7:01,18:22
1/3/04 17:00,379000,68,39,0,7:01,18:22
1/3/04 17:30,375400,68,39,0,7:01,18:22
1/3/04 18:00,372480,68,39,0,7:01,18:22
1/3/04 18:30,402200,68,39,0,7:01,18:22
1/3/04 19:00,408800,68,39,0,7:01,18:22
1/3/04 19:30,400600,68,39,0,7:01,18:22
1/3/04 20:00,378040,68,39,0,7:01,18:22
1/3/04 20:30,348520,68,39,0,7:01,18:22
1/3/04 21:00,335200,68,39,0,7:01,18:22
1/3/04 21:30,315680,68,39,0,7:01,18:22
1/3/04 22:00,306680,68,39,0,7:01,18:22
1/3/04 22:30,292880,68,39,0,7:01,18:22
1/3/04 23:00,278960,68,39,0,7:01,18:22
1/3/04 23:30,266040,68,39,0,7:01,18:22
1/4/04 0:00,256320,68,39,0,7:01,18:22
1/4/04 0:30,248760,72,47,0,7:01,18:22
1/4/04 1:00,246960,72,47,0,7:01,18:22
1/4/04 1:30,244240,72,47,0,7:01,18:22
1/4/04 2:00,240920,72,47,0,7:01,18:22
1/4/04 2:30,240240,72,47,0,7:01,18:22
1/4/04 3:00,237040,72,47,0,7:01,18:22
1/4/04 3:30,232840,72,47,0,7:01,18:22
1/4/04 4:00,230920,72,47,0,7:01,18:22
1/4/04 4:30,229040,72,47,0,7:01,18:22
1/4/04 5:00,232000,72,47,0,7:01,18:22
1/4/04 5:30,245880,72,47,0,7:01,18:22
1/4/04 6:00,258040,72,47,0,7:01,18:22
1/4/04 6:30,276120,72,47,0,7:01,18:22
1/4/04 7:00,287400,72,47,0,7:01,18:22
1/4/04 7:30,295600,72,47,0,7:01,18:22
1/4/04 8:00,305320,72,47,0,7:01,18:22
1/4/04 8:30,307040,72,47,0,7:01,18:22
1/4/04 9:00,309400,72,47,0,7:01,18:22
1/4/04 9:30,308160,72,47,0,7:01,18:22
1/4/04 10:00,309040,72,47,0,7:01,18:22
1/4/04 10:30,302800,72,47,0,7:01,18:22
1/4/04 11:00,298400,72,47,0,7:01,18:22
1/4/04 11:30,287680,72,47,0,7:01,18:22
1/4/04 12:00,258400,72,47,0,7:01,18:22
1/4/04 12:30,235120,72,47,0,7:01,18:22
1/4/04 13:00,234840,72,47,0,7:01,18:22
1/4/04 13:30,239880,72,47,0,7:01,18:22
1/4/04 14:00,246360,72,47,0,7:01,18:22
1/4/04 14:30,246000,72,47,0,7:01,18:22
1/4/04 15:00,244640,72,47,0,7:01,18:22
1/4/04 15:30,242520,72,47,0,7:01,18:22
1/4/04 16:00,244000,72,47,0,7:01,18:22
1/4/04 16:30,243600,72,47,0,7:01,18:22
1/4/04 17:00,242560,72,47,0,7:01,18:22
1/4/04 17:30,242120,72,47,0,7:01,18:22
1/4/04 18:00,249280,72,47,0,7:01,18:22
1/4/04 18:30,266160,72,47,0,7:01,18:22
1/4/04 19:00,280720,72,47,0,7:01,18:22
1/4/04 19:30,288920,72,47,0,7:01,18:22
1/4/04 20:00,287600,72,47,0,7:01,18:22
1/4/04 20:30,277880,72,47,0,7:01,18:22
1/4/04 21:00,272800,72,47,0,7:01,18:22
1/4/04 21:30,268600,72,47,0,7:01,18:22
1/4/04 22:00,261120,72,47,0,7:01,18:22
1/4/04 22:30,250760,72,47,0,7:01,18:22
1/4/04 23:00,239640,72,47,0,7:01,18:22
1/4/04 23:30,230160,72,47,0,7:01,18:22
1/5/04 0:00,221800,72,47,0,7:01,18:22
1/5/04 0:30,214360,74,56,0,7:01,18:22
1/5/04 1:00,213280,74,56,0,7:01,18:22
1/5/04 1:30,211440,74,56,0,7:01,18:22
1/5/04 2:00,209960,74,56,0,7:01,18:22
1/5/04 2:30,207160,74,56,0,7:01,18:22
1/5/04 3:00,205520,74,56,0,7:01,18:22
1/5/04 3:30,204640,74,56,0,7:01,18:22
1/5/04 4:00,201400,74,56,0,7:01,18:22
